ID,Long30m,Lat30m,Hwy_Roads,Major_Roads,Res_Roads,Local_Trucks,Local_Restricted_Trucks,Commerical Zone,Industrial Zone,Residential Zone,NDVI_50,NLCD_Water_50,NLCD_DevOpen_50,NLCD_DevLow_50,NLCD_DevMed_50,NLCD_DevHigh_50,NLCD_Barren_50,NLCD_Deciduous_50,NLCD_Evergreen_50,NLCD_MixForest_50,NLCD_Shrub_50,NLCD_Herbaceous_50,NLCD_Pasture_50,NLCD_Crops_50,NLCD_WoodyWet_50,NLCD_EmergWet_50,Impervious_50,Distance_to_NPL,Distance_to_Rail,Elevation_50,Distance_to_TRI,Total_Road_50,Hwy_Road_50,Maj_Road_50,Res_Road_50,Pop_50,MinDist2Port,MinDist2MainPort,Dist2MainAirport,Dist2Airport
25939,-122.22545,37.77259,0,0,1,0,0,1,0,0,0.08058,0,0,0,45.6869,54.3131,0,0,0,0,0,0,0,0,0,0,82.04792,0.00048,0.01139,7.93755,0.00197,156.6024,0,83.27301,61.27553,79.53013,1.0712,0.10921,0.27831,0.27831
25941,-122.22542,37.80028,1,0,0,0,1,0,0,1,0.12598,0,0,0,95.16129,4.83871,0,0,0,0,0,0,0,0,0,0,71.17419,0.00054,0.00045,57.62084,0.00032,250.4312,230.89813,0,62.44821,0.45369,0.35736,0.12874,0.15005,0.15005
25942,-122.2254,37.77258,0,0,1,0,0,1,0,0,0.08129,0,0,0,44.98382,55.01618,0,0,0,0,0,0,0,0,0,0,82.21359,0.00048,0.01166,7.98864,0.00197,464.29215,317.19549,0,137.98824,16.12144,1.06581,0.10915,0.27851,0.27851
25945,-122.22535,37.77737,0,1,0,0,0,1,0,0,0.06537,0,0,0,0.97087,99.02913,0,0,0,0,0,0,0,0,0,0,90.09709,0.00049,0.00314,13.41303,0.00103,194.79828,191.7598,0,0,0,0.8966,0.11281,0.24265,0.24265
25946,-122.22534,37.80006,1,0,0,0,1,0,0,1,0.12644,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,68.9288,0.00054,0.00045,58.73316,0.00032,147.7763,0,83.50726,52.31651,81.87635,0.3595,0.12852,0.15061,0.15061
25947,-122.22534,37.77861,0,1,0,1,0,1,0,0,0.04718,0,0,0,3.87097,96.12903,0,0,0,0,0,0,0,0,0,0,90.2871,0.0005,0.00236,15.04495,0.00094,392.36324,274.36771,0,128.85964,16.12144,0.83606,0.11376,0.2348,0.2348
25948,-122.22529,37.77221,1,0,0,1,0,1,0,0,0.08467,0,0,0,31.21019,68.78981,0,0,0,0,0,0,0,0,0,0,84.30255,0.00048,0.00904,7.82465,0.00212,405.08347,315.38853,0,73.2887,29.44029,1.0574,0.10877,0.28179,0.28179
25949,-122.22528,37.77223,1,0,0,1,0,1,0,0,0.08405,0,0,0,28.6645,71.3355,0,0,0,0,0,0,0,0,0,0,84.77524,0.00048,0.00923,7.83707,0.00211,501.02011,350.2602,0,142.57859,16.12144,1.05628,0.10877,0.28164,0.28164
25950,-122.22521,37.77886,0,1,0,1,0,1,0,0,0.06055,0,0,0,13.14103,86.85897,0,0,0,0,0,0,0,0,0,0,86.95192,0.0005,0.00221,15.40372,0.00093,167.70454,0,84.21,68.92166,81.87635,0.81825,0.11383,0.23333,0.23333
25951,-122.22519,37.80029,1,0,0,0,1,0,0,1,0.1188,0,0,0,85.25641,14.74359,0,0,0,0,0,0,0,0,0,0,72.97436,0.00054,0.00044,57.65662,0.00032,523.30991,366.15303,0,153.05334,16.12144,0.35581,0.12843,0.15005,0.15005
